bench,V100,MI50,RTX
atari,6.61,1.24,5.41
cart,2000,2000,2000
convnet,213.59,143.17,178.76
convnet_distributed,339.78,225.99,276.1
convnet_distributed_fp16,393.81,315.81,330.41
convnet_fp16,419.96,188.53,262.56
dcgan,238.49,192.1,115.52
dcgan_all,154.86,261.6,139.29
fast_style,253.02,179.43,156.75
loader,1200,1200,1200
recom,18691.81,18683,20650.19
reso,294.39,152,138.34
ssd,36.43,58.58,59.96
toy_lstm,1.03,0.48,2.65
toy_reg,308503.37,147298.73,368820.18
translator,225.11,86.26,223.47
vae,6843.9,4717.01,7972.69
wlm,1621.97,705.43,1440.87
wlmfp16,5522.45,1282.66,3793.37
